"","name","total_area_all","count_all","total_area_small","count_small","total_area_medium","count_medium","total_area_large","count_large","small_area_fraction","medium_area_fraction","large_area_fraction","small_spot_fraction","medium_spot_fraction","large_spot_fraction"
"1","0UN_1",7589371,1889,6065948,1778,1523423,111,0,0,0.799268872216156,0.200731127783844,0,0.941238750661726,0.0587612493382742,0
"2","0UN_2",12147212,2779,7808551,2536,3830540,236,508121,7,0.642826600869401,0.315343142113598,0.0418302570170011,0.912558474271321,0.0849226340410219,0.00251889168765743
"3","0UN_3",6435180,1703,5534161,1647,816578,55,84441,1,0.859985423873147,0.126892798647435,0.0131217774794178,0.967116852613036,0.0322959483264827,0.000587199060481503
"4","0UN_4R",5581264,1408,4447257,1334,1045495,73,88512,1,0.796818964306293,0.18732226248391,0.0158587732097962,0.947443181818182,0.0518465909090909,0.000710227272727273
"5","0UN_7",13705579,1985,5793348,1641,5930625,317,1981606,27,0.422699982248105,0.432716122390743,0.144583895361152,0.826700251889169,0.159697732997481,0.0136020151133501
"6","15HI_2",1069151,26,23623,7,307308,10,738220,9,0.022095101627366,0.287431803365474,0.69047309500716,0.269230769230769,0.384615384615385,0.346153846153846
"7","15HI_3",4207558,150,179854,56,1605822,64,2421882,30,0.0427454594802971,0.38165177996358,0.575602760556123,0.373333333333333,0.426666666666667,0.2
"8","15HI_3a",2526096,103,142940,73,254598,9,2128558,21,0.0565853395912111,0.100787143481483,0.842627516927306,0.70873786407767,0.087378640776699,0.203883495145631
"9","15HI_4",4409769,292,548788,167,2313492,105,1547489,20,0.124448242073451,0.524628841102561,0.350922916823988,0.571917808219178,0.35958904109589,0.0684931506849315
"10","5HI_1",2395711,184,525401,98,1734400,85,135910,1,0.219309006804243,0.723960444310687,0.05673054888507,0.532608695652174,0.46195652173913,0.00543478260869565
"11","5HI_2",7881717,884,2222205,740,2550768,111,3108744,33,0.281944276862516,0.323631005782116,0.394424717355368,0.83710407239819,0.125565610859729,0.0373303167420814
"12","5HI_6A",706862,138,408700,119,298162,19,0,0,0.578189236371456,0.421810763628544,0,0.86231884057971,0.13768115942029,0
